Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
Africa,Algeria,1998,20.4,4.9,-0.9,1.55,1.46,29768857,606987,146165,-27387,460822,433435
Africa,Algeria,1999,19.7,4.8,-0.4,1.49,1.45,30204849,594129,143473,-12082,450656,438574
Africa,Algeria,2000,19.2,4.6,-0.6,1.46,1.4,30638018,588556,141548,-18996,447009,428013
Africa,Algeria,2001,19.9,4.6,-0.8,1.53,1.45,31077277,618438,141712,-25794,476725,450931
Africa,Algeria,2002,19.6,4.4,-1.2,1.52,1.4,31523711,616919,138389,-36252,478530,442278
Africa,Algeria,2003,20.3,4.6,-1.2,1.57,1.44,31975415,649101,148366,-39330,500735,461405
Africa,Algeria,2004,20.6,4.3,-1.2,1.63,1.51,32450849,669137,140837,-38617,528300,489683
Africa,Algeria,2005,21.4,4.5,-3.4,1.69,1.35,32917567,703119,147800,-111261,555319,444058
Africa,Algeria,2006,22.1,4.3,-1,1.78,1.69,33420968,738938,143376,-32753,595562,562809
Africa,Algeria,2007,23,4.3,-1.1,1.87,1.76,34002400,783075,146210,-37063,636865,599802
Africa,Angola,1998,49.1,15.5,-3.5,3.36,3.01,14736965,723585,228276,-50990,495309,444319
Africa,Angola,1999,48.9,15.5,-2.1,3.35,3.14,15197666,743166,234804,-31155,508362,477207
Africa,Angola,2000,48.7,15.4,-5.1,3.33,2.82,15657215,762350,241121,-79226,521229,442003
Africa,Angola,2001,48.5,14.9,-2.2,3.36,3.14,16131419,782051,239552,-35973,542500,506527
Africa,Angola,2002,48.3,14.3,2.1,3.39,3.6,16685168,805059,239265,35206,565794,601000
Africa,Angola,2003,48,13.9,7.4,3.42,4.16,17346091,833306,240590,128014,592716,720730
Africa,Angola,2004,47.9,13.4,6.4,3.44,4.09,18075828,865290,242758,116047,622532,738578
Africa,Angola,2005,47.7,13,1.9,3.47,3.66,18789081,896991,244634,35511,652357,687868
Africa,Angola,2006,47.6,12.6,1.7,3.5,3.67,19490185,927733,246161,32938,681572,714510
Africa,Angola,2007,47.4,12.3,2.3,3.52,3.74,20225887,959112,247767,45711,711344,757055
Africa,Benin,1998,44.9,12.6,0,3.23,3.23,6202318,278298,77963,0,200335,200335
Africa,Benin,1999,44.7,12.2,0.1,3.25,3.26,6406766,286382,78419,769,207964,208732
Africa,Benin,2000,44.5,11.9,0.1,3.26,3.27,6619120,294551,79032,662,215519,216180
Africa,Benin,2001,44.3,11.6,0.1,3.27,3.27,6839006,302831,79538,479,223294,223772
Africa,Benin,2002,43.6,11.4,0,3.21,3.22,7064487,307870,80818,212,227053,227265
Africa,Benin,2003,42.9,11.2,0,3.17,3.17,7293710,312900,81762,0,231138,231138
Africa,Benin,2004,42.2,10.9,0,3.13,3.13,7526831,317783,82344,-75,235439,235364
Africa,Benin,2005,41.6,10.6,3.3,3.1,3.43,7777709,323475,82288,25511,241187,266698
Africa,Benin,2006,41,10.3,-0.7,3.07,3,8031708,329220,82325,-5863,246895,241032
Africa,Benin,2007,40.4,10,0,3.04,3.04,8278158,334272,82450,0,251822,251822
Africa,Botswana,1998,31.3,13.9,6.3,1.74,2.37,1584400,49544,21960,9966,27584,37550
Africa,Botswana,1999,30.8,15.3,6.2,1.55,2.17,1620722,49853,24716,9967,25137,35105
Africa,Botswana,2000,30.2,16.3,6,1.39,1.99,1654761,50040,27022,9962,23018,32979
Africa,Botswana,2001,29.7,15.9,5.9,1.39,1.98,1687937,50182,26771,9959,23412,33371
Africa,Botswana,2002,29.3,15.4,3.6,1.39,1.76,1719736,50371,26398,6243,23973,30216
Africa,Botswana,2003,28.9,14.8,3.6,1.41,1.77,1750323,50549,25852,6249,24697,30946
Africa,Botswana,2004,28.4,14.2,3.5,1.42,1.77,1781586,50668,25334,6253,25334,31588
Africa,Botswana,2005,28,13.7,3.4,1.43,1.77,1813417,50721,24880,6238,25841,32079
Africa,Botswana,2006,27.5,13.2,3.4,1.42,1.76,1845723,50720,24437,6239,26283,32522
Africa,Botswana,2007,27,12.8,3.3,1.42,1.75,1878406,50623,24025,6255,26598,32853
Africa,BurkinaFaso,1998,49.1,16.9,-6.9,3.21,2.52,10782845,529006,182554,-74617,346453,271836
Africa,BurkinaFaso,1999,48.8,16.3,0.1,3.24,3.25,11099130,541083,181360,1110,359723,360833
Africa,BurkinaFaso,2000,48.4,15.7,-6.4,3.28,2.63,11430022,553670,179337,-73381,374333,300952
Africa,BurkinaFaso,2001,47.8,15.1,13.5,3.26,4.61,11853834,566258,179349,159790,386909,546699
Africa,BurkinaFaso,2002,46.5,14.3,12.8,3.22,4.51,12406620,576784,177167,159301,399617,558918
Africa,BurkinaFaso,2003,45.8,13.5,-5.7,3.23,2.66,12857170,588473,173186,-73157,415287,342129
Africa,BurkinaFaso,2004,45.5,13,-5.5,3.25,2.7,13206560,601295,171685,-73032,429609,356577
Africa,BurkinaFaso,2005,45.3,12.6,-5.4,3.27,2.73,13569965,614719,171117,-73278,443602,370324
Africa,BurkinaFaso,2006,45.1,12.3,-5.3,3.28,2.75,13947108,628317,170992,-73222,457326,384103
Africa,BurkinaFaso,2007,44.8,11.9,-4.7,3.28,2.81,14340736,641891,170942,-67832,470950,403118
Africa,Burundi,1998,44.4,15.2,0,2.93,2.93,6336587,281471,95999,0,185472,185472
Africa,Burundi,1999,44.2,15.2,0,2.91,2.91,6524134,288628,98971,0,189657,189657
Africa,Burundi,2000,44.1,15.2,0,2.89,2.89,6715979,296040,102016,0,194025,194025
Africa,Burundi,2001,43.9,14.8,0,2.91,2.91,6913694,303580,102184,0,201396,201396
Africa,Burundi,2002,43.9,14.4,0,2.95,2.95,7119264,312180,102446,0,209734,209734
Africa,Burundi,2003,43.8,14,0,2.98,2.98,7333389,321349,102814,0,218535,218535
Africa,Burundi,2004,43.8,13.7,0,3.01,3.01,7556450,330897,103297,0,227600,227600
Africa,Burundi,2005,43.8,13.3,0,3.05,3.05,7788872,341075,103826,0,237249,237249
Africa,Burundi,2006,43.8,12.9,0,3.1,3.1,8031787,351792,103208,0,248584,248584
Africa,Burundi,2007,43.8,12.4,0,3.14,3.14,8286261,363187,102832,0,260354,260354
Africa,CaboVerde,1998,30,7.8,-0.8,2.22,2.14,412972,12389,3205,-343,9184,8842
Africa,CaboVerde,1999,28.8,7.7,-0.8,2.11,2.03,421678,12153,3243,-342,8910,8568
Africa,CaboVerde,2000,27.8,7.6,-0.8,2.02,1.94,430132,11962,3282,-344,8680,8336
Africa,CaboVerde,2001,27.2,7.4,-0.8,1.97,1.89,438454,11908,3262,-342,8646,8304
Africa,CaboVerde,2002,26.4,7.3,-0.8,1.91,1.83,446704,11784,3248,-344,8537,8193
Africa,CaboVerde,2003,25.6,7.1,-0.8,1.85,1.77,454825,11625,3234,-341,8392,8050
Africa,CaboVerde,2004,24.8,7,-0.7,1.78,1.71,462795,11463,3230,-342,8233,7891
Africa,CaboVerde,2005,24,6.9,-0.7,1.71,1.64,470597,11276,3224,-344,8052,7708
Africa,CaboVerde,2006,23.6,6.7,-0.7,1.68,1.61,478309,11279,3224,-344,8055,7710
