Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
Africa,Algeria,2020,20,4.4,-0.9,1.56,1.48,42972878,859028,186932,-36527,672096,635569
Africa,Algeria,2021,19.2,4.4,-0.8,1.49,1.4,43596498,838361,190517,-36621,647844,611223
Africa,Algeria,2022,18.5,4.4,-0.8,1.41,1.33,44195289,817171,194901,-36240,622270,586030
Africa,Algeria,2023,17.8,4.5,-0.8,1.33,1.25,44768774,796436,199221,-36263,597215,560953
Africa,Algeria,2024,17.1,4.5,-0.8,1.26,1.18,45317189,775830,203474,-36254,572356,536102
Africa,Algeria,2025,16.5,4.5,-0.8,1.2,1.12,45841317,756840,208120,-36215,548721,512506
Africa,Algeria,2026,16,4.6,-0.8,1.14,1.06,46342439,740089,213639,-36611,526450,489840
Africa,Algeria,2027,15.5,4.7,-0.8,1.08,1,46821890,724335,219126,-36521,505208,468687
Africa,Algeria,2028,15,4.8,-0.8,1.03,0.95,47281234,711110,225059,-36407,486051,449645
Africa,Algeria,2029,14.7,4.8,-0.8,0.98,0.91,47722597,700568,230977,-36269,469590,433321
Africa,Algeria,2030,14.4,4.9,-0.8,0.95,0.87,48148456,692856,237853,-36593,455003,418410
Africa,Algeria,2031,14.2,5,-0.8,0.91,0.84,48561405,688115,244749,-36421,443366,406945
Africa,Algeria,2032,14,5.2,-0.7,0.88,0.81,48963397,684998,252161,-36233,432836,396604
Africa,Algeria,2033,13.9,5.3,-0.7,0.86,0.79,49355830,684072,259612,-36523,424460,387937
Africa,Algeria,2034,13.8,5.4,-0.7,0.84,0.77,49740180,684425,267105,-36310,417320,381010
Africa,Angola,2020,42.7,8.5,-0.2,3.42,3.4,32522339,1388379,276115,-6830,1112264,1105434
Africa,Angola,2021,42.2,8.2,-0.2,3.4,3.38,33643663,1421108,277224,-6729,1143885,1137156
Africa,Angola,2022,41.8,8,-0.2,3.38,3.36,34796933,1455208,279071,-6611,1176136,1169525
Africa,Angola,2023,41.5,7.8,-0.2,3.37,3.35,35983686,1491524,280673,-6837,1210851,1204014
Africa,Angola,2024,41.1,7.6,-0.2,3.35,3.33,37205374,1529141,282761,-6697,1246380,1239683
Africa,Angola,2025,40.8,7.4,0,3.34,3.34,38467070,1568302,285041,769,1283261,1284031
Africa,Angola,2026,40.5,7.2,0,3.32,3.33,39770244,1608706,286743,795,1321963,1322758
