ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment
1470,Chemehuevi,United States of America,USA,ute,Critically endangered
1082,Chepang,Nepal,NPL,"cdm, byh",Vulnerable
525,Chepya,Lao People's Democratic Republic,LAO,ycp,Definitely endangered
1536,Cherokee (North Carolina),United States of America,USA,chr,Severely endangered
903,Cherokee (Oklahoma),United States of America,USA,chr,Definitely endangered
2444,Chesu,China,CHN,ych,Definitely endangered
765,Cheyenne (Montana),United States of America,USA,chy,Definitely endangered
1456,Cheyenne (Oklahoma),United States of America,USA,chy,Severely endangered
697,Chichimec,Mexico,MEX,pei,Vulnerable
897,Chickasaw,United States of America,USA,cic,Severely endangered
1481,Chihuahua Lower Pima,Mexico,MEX,pia,Definitely endangered
1280,Chilchotla Mazatec,Mexico,MEX,,Vulnerable
800,Chilcotin,Canada,CAN,clc,Definitely endangered
1846,Chilisso,Pakistan,PAK,clh,Severely endangered
634,ChimanÃ©,Bolivia (Plurinational State of),BOL,cas,Vulnerable
290,Chimila,Colombia,COL,cbg,Severely endangered
256,Chinook Jargon,United States of America,USA,chn,Critically endangered
434,Chintang,Nepal,NPL,ctn,Severely endangered
2442,Chintaw,China,CHN,xia,Critically endangered
584,Chipaya,Bolivia (Plurinational State of),BOL,cap,Definitely endangered
1284,ChiquihuitlÃ¡n Mazatec,Mexico,MEX,maq,Definitely endangered
585,Chiquitano (Bolivia),Bolivia (Plurinational State of),BOL,cax,Definitely endangered
2025,Chiquitano (Brazil),Brazil,BRA,cax,Critically endangered
888,Chiwere,United States of America,USA,iow,Extinct
1252,Cho-ca-nga-ca-kha,Bhutan,BTN,cgk,Definitely endangered
1541,Choctaw (Louisiana),United States of America,USA,cho,Vulnerable
896,Choctaw (Mississipi),United States of America,USA,cho,Vulnerable
1542,Choctaw (Oklahoma),United States of America,USA,cho,Vulnerable
1141,Chokri,India,IND,nri,Vulnerable
587,Cholon,Peru,PER,cht,Extinct
1004,Chong,"Cambodia, Thailand","KHM, THA",cog,Severely endangered
1356,Chontal Tabasco,Mexico,MEX,chf,Severely endangered
1906,Chorote Iyojwa'ja,"Argentina, Paraguay","ARG, PRY",crt,Severely endangered
1876,Chorotega,Costa Rica,CRI,,Critically endangered
2431,Choyi,China,CHN,qvy,Definitely endangered
2246,Chrau,Viet Nam,VNM,crw,Definitely endangered
2238,Chru,Viet Nam,VNM,cje,Vulnerable
2464,Chuang,Cambodia,KHM,,Critically endangered
1787,Chuj (Guatemala),Guatemala,GTM,"cnm, cac",Vulnerable
1360,Chuj (Mexico),Mexico,MEX,"cnm, cac",Critically endangered
466,Chukchi,Russian Federation,RUS,ckt,Severely endangered
467,Chulym Turk,Russian Federation,RUS,clw,Critically endangered
1991,Chung (Cambodia),Cambodia,KHM,scq,Critically endangered
1002,Chung (Thailand),Thailand,THA,scq,Critically endangered
1554,Churahi,India,IND,cdj,Definitely endangered
338,Chuvash,Russian Federation,RUS,chv,Vulnerable
442,ChÉ¨lÉ¨ng,Nepal,NPL,cur,Definitely endangered
1345,Cimbrian,Italy,ITA,cim,Definitely endangered
589,Cinta Larga,Brazil,BRA,cin,Vulnerable
10,Cobiana,"Guinea-Bissau, Senegal","GNB, SEN",kcj,Critically endangered
1789,Cocama-Cocamilla (Brazil),Brazil,BRA,cod,Critically endangered
590,Cocama-Cocamilla (Peru),Peru,PER,cod,Severely endangered
846,Cocopa (Arizona),United States of America,USA,coc,Severely endangered
723,Cocopa (Mexico),Mexico,MEX,coc,Definitely endangered
802,Coeur d'Alene,United States of America,USA,crd,Critically endangered
803,Columbian,United States of America,USA,col,Critically endangered
862,Comanche,United States of America,USA,com,Severely endangered
693,Comox/Sliammon,Canada,CAN,coo,Critically endangered
2239,CÃ´Ã´ng,Viet Nam,VNM,cnc,Definitely endangered
763,Copper Island Aleut,Russian Federation,RUS,mud,Critically endangered
8,Coptic,Egypt,EGY,cop,Extinct
367,Corfiot Italkian,Greece,GRC,,Critically endangered
339,Cornish,United Kingdom of Great Britain and Northern Ireland,GBR,cor,Critically endangered
340,Corsican,"France, Italy","FRA, ITA",cos,Definitely endangered
2241,Cosung (China),China,CHN,lkc,Definitely endangered
2240,Cosung (Viet Nam),Viet Nam,VNM,lkc,Definitely endangered
798,Cowlitz,United States of America,USA,cow,Extinct
900,Creek,United States of America,USA,mus,Definitely endangered
342,Crimean Tatar (Crimea),Ukraine,UKR,"crh, jct",Severely endangered
1448,Crimean Tatar (Dobruja),"Bulgaria, Romania","BGR, ROU","crh, jct",Severely endangered
1335,Crimean Turkish,Ukraine,UKR,,Severely endangered
883,Crow,United States of America,USA,cro,Definitely endangered
1351,CsÃ¡ngÃ³ Hungarian,Romania,ROU,hun,Severely endangered
1796,Cubeo (Brazil),Brazil,BRA,cub,Definitely endangered
2002,Cubeo (Colombia),Colombia,COL,cub,Vulnerable
299,Cuiba,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",cui,Severely endangered
1798,Culina (Brazil),Brazil,BRA,cul,Vulnerable
744,Culina (Peru),Peru,PER,cul,Definitely endangered
594,Culle,Peru,PER,,Extinct
1609,Cuman,Hungary,HUN,,Extinct
2261,Cuona Menba,"Bhutan, China, India","BTN, CHN, IND",twm,Vulnerable
868,CupeÃ±o,United States of America,USA,cup,Extinct
343,Cypriot Arabic,Cyprus,CYP,acy,Severely endangered
2526,Dabra,Indonesia,IDN,,Vulnerable
449,Dagur (Amur),China,CHN,dta,Critically endangered
450,Dagur (Hailar),China,CHN,dta,Definitely endangered
451,Dagur (Nonni),China,CHN,dta,Definitely endangered
76,Dahaalik,Eritrea,ERI,,Critically endangered
101,Dahalo,Kenya,KEN,dal,Severely endangered
1698,Dair,Sudan,SDN,drb,Severely endangered
2279,Dakka,Indonesia,IDN,,Vulnerable
2252,Dakkang,Lao People's Democratic Republic,LAO,,Definitely endangered
273,Dakota,Canada,CAN,dak,Definitely endangered
1251,Dakpa,"Bhutan, India","BTN, IND",dka,Definitely endangered
344,Dalecarlian,Sweden,SWE,swe,Definitely endangered
345,Dalmatian,Croatia,HRV,dlm,Extinct
2524,Damal,Indonesia,IDN,uhn,Vulnerable
1910,Damana,Colombia,COL,mbp,Definitely endangered
1605,Dameli,Pakistan,PAK,dml,Severely endangered
2280,Dampel,Indonesia,IDN,,Critically endangered
2616,Dampelas,Indonesia,IDN,dms,Definitely endangered
521,Danaw,Myanmar,MMR,dnu,Critically endangered
1420,Danisi,Botswana,BWA,shg,Critically endangered
431,Danuwar,Nepal,NPL,dhw,Severely endangered
1083,Darai,Nepal,NPL,dry,Severely endangered
1070,Dargwa,Russian Federation,RUS,dar,Vulnerable
1773,Dari,Iran (Islamic Republic of),IRN,gbz,Definitely endangered
435,Darma,"India, Nepal","IND, NPL",drd,Definitely endangered
1770,DÃ¢w,Brazil,BRA,kwa,Vulnerable
29,Defaka,Nigeria,NGA,afn,Critically endangered
2527,Demisa,Indonesia,IDN,dei,Definitely endangered
271,Dene Suline,Canada,CAN,chp,Vulnerable
2667,Dengalu,Papua New Guinea,PNG,ptp,Definitely endangered
1764,DenÃ­,Brazil,BRA,dny,Vulnerable
1170,Deori,India,IND,der,Definitely endangered
1628,Desano (Brazil),Brazil,BRA,des,Definitely endangered
2004,Desano (Colombia),Colombia,COL,des,Definitely endangered
129,Deti,Botswana,BWA,shg,Extinct
123,Dhaiso,United Republic of Tanzania,TZA,dhs,Definitely endangered
2074,Dharawal,Australia,AUS,tbh,Critically endangered
2073,Dharug,Australia,AUS,nil,Critically endangered
436,Dhimal,Nepal,NPL,dhi,Severely endangered
2075,Dhurga,Australia,AUS,dhu,Critically endangered
595,DiahÃ³i,Brazil,BRA,pah,Critically endangered
2201,Dicamay Agta,Philippines,PHL,duy,Extinct
73,Dilling,Sudan,SDN,dil,Definitely endangered
1167,Dimasa,India,IND,dis,Vulnerable
1413,Dimbong,Cameroon,CMR,dii,Critically endangered
83,Dimme,Ethiopia,ETH,dim,Vulnerable
1616,Djeoromitxi,Brazil,BRA,jbt,Severely endangered
175,Djinang,Australia,AUS,dji,Definitely endangered
2668,Doga,Papua New Guinea,PNG,dgg,Definitely endangered
268,Dogrib,Canada,CAN,dgr,Vulnerable
1085,Dol-po,Nepal,NPL,dre,Definitely endangered
468,Dolgan,Russian Federation,RUS,dlg,Definitely endangered
43,Domaaki,Pakistan,PAK,dmk,Severely endangered
2217,Domari,"Egypt, Israel, Jordan, Lebanon, Libyan Arab Jamahiriya, Palestine, Syrian Arab Republic","EGY, ISR, JOR, LBN, LBY, PSE, SYR",rmt,Severely endangered
2304,Dondo,Indonesia,IDN,dok,Vulnerable
74,Dongotono,Sudan,SDN,ddd,Vulnerable
1904,Dorasque,Panama,PAN,,Extinct
2511,Dorig,Vanuatu,VUT,wwo,Definitely endangered
2629,Dororo,Solomon Islands,SLB,drr,Extinct
2100,Dorro,Papua New Guinea,PNG,mxw,Severely endangered
2528,Doutai,Indonesia,IDN,tds,Severely endangered
2501,Drubea,New Caledonia (France),NCL,duf,Vulnerable
2727,Duano',Malaysia,MYS,,Critically endangered
2529,Dubu,Indonesia,IDN,dmu,Vulnerable
1388,Duguza,Nigeria,NGA,dza,Definitely endangered
720,Dukha,Mongolia,MNG,,Severely endangered
1387,Dulbu,Nigeria,NGA,dbo,Critically endangered
41,Duli,Cameroon,CMR,duz,Extinct
437,Dumi,Nepal,NPL,dus,Critically endangered
2095,Dumun,Papua New Guinea,PNG,dui,Critically endangered
1670,Dungan,"Kazakhstan, Kyrgyzstan","KAZ, KGZ",dng,Definitely endangered
177,Dungidjau,Australia,AUS,,Extinct
1086,Dungmali,Nepal,NPL,raa,Definitely endangered
2234,Dupaninan Agta,Philippines,PHL,duo,Vulnerable
438,Dura,Nepal,NPL,drq,Extinct
2530,Duriankere,Indonesia,IDN,dbn,Critically endangered
2531,Dusner,Indonesia,IDN,dsn,Critically endangered
2669,Duwet,Papua New Guinea,PNG,gve,Vulnerable
178,Dyirbal,Australia,AUS,dbl,Critically endangered
1250,Dzala,Bhutan,BTN,dzl,Vulnerable
1768,Dzhidi,Iran (Islamic Republic of),IRN,jpr,Definitely endangered
1253,Dzongkha,Bhutan,BTN,dzo,Vulnerable
156,East Cape Yupik,Russian Federation,RUS,ynk,Critically endangered
1596,East Franconian,"Germany, Czech Republic","DEU, CZE",vmf,Vulnerable
686,East Greenlandic,Greenland (Kingdom of Denmark),GRL,kal,Definitely endangered
259,Eastern Abenaki,United States of America,USA,aaq,Extinct
2229,Eastern Cham,Viet Nam,VNM,cjm,Definitely endangered
1262,Eastern Chocho,Mexico,MEX,coz,Severely endangered
1018,Eastern Cuicatec,Mexico,MEX,cut,Vulnerable
470,Eastern Kamchadal,Russian Federation,RUS,,Extinct
676,Eastern Khanty,Russian Federation,RUS,kca,Definitely endangered
721,Eastern Mansi,Russian Federation,RUS,mns,Critically endangered
347,Eastern Mari,Russian Federation,RUS,mhr,Definitely endangered
940,Eastern Mazahua,Mexico,MEX,,Definitely endangered
267,Eastern Montagnais,Canada,CAN,moe,Vulnerable
2364,Eastern Ojibwe,Canada,CAN,ojg,Severely endangered
833,Eastern Pomo,United States of America,USA,peb,Extinct
1269,Eastern Popoloc,Mexico,MEX,poe,Vulnerable
1024,Eastern Slovak,"Slovakia, Ukraine","SVK, UKR",slk,Vulnerable
991,Eastern Tlapanec,Mexico,MEX,tcf,Vulnerable
58,Ebang,Sudan,SDN,hbn,Severely endangered
1306,Ediamat,Guinea-Bissau,GNB,eja,Vulnerable
782,Eel River Athabaskan,United States of America,USA,wlk,Extinct
1320,Ega,CÃ´te d'Ivoire,CIV,ega,Severely endangered
75,El Hugeirat,Sudan,SDN,elh,Severely endangered
56,Eliri,Sudan,SDN,eli,Severely endangered
92,Elmolo,Kenya,KEN,elo,Extinct
1271,EloxochitlÃ¡n Mazatec,Mexico,MEX,maa,Vulnerable
2641,Emae,Vanuatu,VUT,mmw,Vulnerable
1411,Eman,Cameroon,CMR,emn,Severely endangered
292,Embera (Colombia),Colombia,COL,"emp, cmi, cto, sja, bdc, tdc, crf",Vulnerable
1901,Embera (Panama),Panama,PAN,"emp, cmi, cto, sja, bdc, tdc, crf",Vulnerable
293,Ã‰mÃ©rillon,French Guiana (France),GUF,eme,Severely endangered
349,Emilian-Romagnol,"Italy, San Marino","ITA, SMR",eml,Definitely endangered
2332,Emplawas,Indonesia,IDN,emw,Definitely endangered
2474,En,Myanmar,MMR,,Critically endangered
1820,EnawenÃª-NawÃª,Brazil,BRA,unk,Vulnerable
2269,Enggano,Indonesia,IDN,eno,Vulnerable
1321,Eotile,CÃ´te d'Ivoire,CIV,eot,Extinct
2532,Erokwanas,Indonesia,IDN,erw,Vulnerable
2432,Ersu,China,CHN,ers,Definitely endangered
350,Erzya,Russian Federation,RUS,myv,Definitely endangered
740,Ese eja,"Bolivia (Plurinational State of), Peru","BOL, PER",ese,Definitely endangered
478,Even (Kamtchatka),Russian Federation,RUS,eve,Severely endangered
471,Even (Siberia),Russian Federation,RUS,eve,Severely endangered
459,Evenki (Manchuria),China,CHN,"evn, orh",Severely endangered
674,Evenki (Northern Siberia),Russian Federation,RUS,"evn, orh",Severely endangered
495,Evenki (Sakhalin),Russian Federation,RUS,"evn, orh",Severely endangered
2450,Evenki (Southern Siberia),"Mongolia, Russian Federation","MNG, RUS","evn, orh",Severely endangered
150,Eyak,United States of America,USA,eya,Extinct
351,Faetar,Italy,ITA,frp,Definitely endangered
2502,Fagauvea (Northern),New Caledonia (France),NCL,uve,Vulnerable
2503,Fagauvea (Southern),New Caledonia (France),NCL,uve,Vulnerable
2630,Faghani,Solomon Islands,SLB,faf,Vulnerable
2168,Faire Atta,Philippines,PHL,azt,Severely endangered
2102,Faita,Papua New Guinea,PNG,faj,Severely endangered
1649,Fania,Chad,TCD,fni,Severely endangered
1027,Faroese,Faroe Islands,FRO,fao,Vulnerable
2533,Fayu,Indonesia,IDN,fau,Vulnerable
1701,Feroge,Sudan,SDN,fer,Vulnerable
2215,Figuig,Morocco,MAR,,Vulnerable
919,Filomeno Mata Totonac,Mexico,MEX,tlp,Vulnerable
1657,Fongoro,Chad,TCD,fgr,Severely endangered
472,Forest Enets,Russian Federation,RUS,enf,Critically endangered
473,Forest Nenets,Russian Federation,RUS,yrk,Severely endangered
474,Forest Yukagir,Russian Federation,RUS,yux,Critically endangered
2534,Foya,Indonesia,IDN,,Critically endangered
1522,Franc-Comtois,"France, Switzerland","FRA, CHE",fra,Severely endangered
366,FrancoprovenÃ§al,"France, Italy, Switzerland","FRA, ITA, CHE",frp,Definitely endangered
353,Friulian,Italy,ITA,fur,Definitely endangered
2493,FwÃ¢i,New Caledonia (France),NCL,fwa,Vulnerable
25,Fyem,Nigeria,NGA,pym,Severely endangered
180,Gaagudju,Australia,AUS,gbu,Extinct
1576,Gadaba,India,IND,"gdb, gau",Critically endangered
1636,Gadang,Chad,TCD,gdk,Definitely endangered
89,Gafat,Ethiopia,ETH,gft,Extinct
389,Gagauz (Bessarabia),"Republic of Moldova, Ukraine","MDA, UKR","bgx, gag",Definitely endangered
354,Gagauz (Deli Orman),Bulgaria,BGR,"bgx, gag",Critically endangered
671,Gagauz (Maritime),"Bulgaria, Romania","BGR, ROU","bgx, gag",Severely endangered
673,Gagauz (South Balkans),"Greece, The former Yugoslav Republic of Macedonia, Turkey","GRC, MKD, TUR","bgx, gag",Severely endangered
179,Gajerrong,Australia,AUS,gdh,Critically endangered
1711,Galibi Marworno,Brazil,BRA,car,Vulnerable
355,Gallo,France,FRA,fra,Severely endangered
1330,Gallo-Sicilian,Italy,ITA,lmo,Definitely endangered
356,Gallurese,Italy,ITA,sdn,Definitely endangered
988,Galo,India,IND,adl,Vulnerable
773,Gambiri,Afghanistan,AFG,trm,Severely endangered
2077,Gamilaraay,Australia,AUS,kld,Critically endangered
522,Ganan,Myanmar,MMR,,Severely endangered
181,Ganggalidda,Australia,AUS,gcd,Critically endangered
2456,Gangou,China,CHN,,Severely endangered
1180,Gangte,India,IND,gnb,Definitely endangered
2631,Gao,Solomon Islands,SLB,gga,Vulnerable
357,Gardiol,Italy,ITA,,Severely endangered
1563,Garhwali,India,IND,gbm,Vulnerable
294,GarÃ­funa (Belize),Belize,BLZ,cab,Vulnerable
1834,GarÃ­funa (Guatemala),Guatemala,GTM,cab,Vulnerable
1861,GarÃ­funa (Honduras),Honduras,HND,cab,Vulnerable
1893,GarÃ­funa (Nicaragua),Nicaragua,NIC,cab,Critically endangered
182,Garrwa,Australia,AUS,gbc,Severely endangered
2670,Garuwahi,Papua New Guinea,PNG,grw,Definitely endangered
352,Gascon,"Spain, France","ESP, FRA",oci,Definitely endangered
80,Gats'ama - Ganjule - Harro,Ethiopia,ETH,kcx,Definitely endangered
598,GaviÃ£o de RondÃ´nia,Brazil,BRA,gvo,Vulnerable
1667,GaviÃ£o do ParÃ¡,Brazil,BRA,gvp,Vulnerable
1850,Gawar-Bati,"Pakistan, Afghanistan","PAK, AFG",gwt,Definitely endangered
523,Gazhuo,China,CHN,kaf,Definitely endangered
2061,Gazi,Iran (Islamic Republic of),IRN,gzi,Definitely endangered
1687,Ge'ez,Ethiopia,ETH,gez,Extinct
2333,Gebe,Indonesia,IDN,gei,Vulnerable
32,Geji cluster,Nigeria,NGA,gji,Severely endangered
1660,Geme,Central African Republic,CAF,geq,Critically endangered
1384,Gera,Nigeria,NGA,gew,Vulnerable
1209,Geta?,India,IND,gaq,Severely endangered
2671,Getmata,Papua New Guinea,PNG,get,Extinct
42,Gey,Cameroon,CMR,guv,Extinct
1290,Ghadames,Libyan Arab Jamahiriya,LBY,gha,Vulnerable
1112,Ghale,Nepal,NPL,"ght, ghh, ghe",Vulnerable
512,Ghomara,Morocco,MAR,gho,Critically endangered
266,Gitksan,Canada,CAN,git,Severely endangered
1047,Godoberi,Russian Federation,RUS,gdo,Definitely endangered
1586,Gondi,India,IND,gon,Vulnerable
1005,Gong,Thailand,THA,ugo,Severely endangered
1254,Gongduk,Bhutan,BTN,goe,Vulnerable
185,Gooniyandi,Australia,AUS,gni,Severely endangered
2590,Gorap,Indonesia,IDN,goq,Definitely endangered
2103,Gorovu,Papua New Guinea,PNG,grg,Severely endangered
1206,Gorum,India,IND,pcj,Definitely endangered
358,Gothic,Ukraine,UKR,,Extinct
1346,Gottscheerish,Slovenia,SVN,,Critically endangered
1635,Goundo,Chad,TCD,goy,Critically endangered
1841,Gowro,Pakistan,PAK,gwf,Severely endangered
2679,Grass Koiari,Papua New Guinea,PNG,kbk,Vulnerable
2722,Great andamanese,India,IND,akj,Critically endangered
2418,Green Gelao (China),China,CHN,giq,Critically endangered
524,Green Gelao (Viet Nam),Viet Nam,VNM,giq,Critically endangered
1339,Griko (Calabria),Italy,ITA,ell,Severely endangered
1614,Griko (Salento),Italy,ITA,ell,Severely endangered
764,Gros Ventre,United States of America,USA,ats,Critically endangered
1755,GuajÃ¡,Brazil,BRA,gvj,Vulnerable
1666,Guajajara,Brazil,BRA,gub,Vulnerable
295,Guajiro,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",guc,Vulnerable
599,Guambiano,Colombia,COL,gum,Definitely endangered
2052,GuanÃ¡,Paraguay,PRY,gva,Critically endangered
4,Guanche,Spain,ESP,,Extinct
1927,GuaranÃ­ Boliviano,"Argentina, Bolivia (Plurinational State of)","ARG, BOL","gnw, gui",Vulnerable
1615,Guarasu,Brazil,BRA,,Critically endangered
1922,Guarayu,Bolivia (Plurinational State of),BOL,gyr,Definitely endangered
600,GuatÃ³,Brazil,BRA,gta,Critically endangered
1884,Guatuso,Costa Rica,CRI,gut,Severely endangered
1913,Guayabero,Colombia,COL,guo,Definitely endangered
1341,Guernsey French,United Kingdom of Great Britain and Northern Ireland,GBR,fra,Severely endangered
2433,Guichong,China,CHN,gqi,Vulnerable
68,Gule,Sudan,SDN,gly,Extinct
2632,Guliguli,Solomon Islands,SLB,gli,Extinct
2076,Gumbaynggirr,Australia,AUS,kgs,Critically endangered
601,GÃ¼nÃ¼na KÃ¼ne,Argentina,ARG,pue,Extinct
187,Gupapuyngu,Australia,AUS,guf,Vulnerable
1382,Gura,Nigeria,NGA,gvm,Severely endangered
2106,Guranalum,Papua New Guinea,PNG,,Critically endangered
24,Gurdu-Mbaaru,Nigeria,NGA,grd,Severely endangered
188,Gurrgoni,Australia,AUS,gge,Vulnerable
1113,Gurung,Nepal,NPL,"ggn, gvr",Definitely endangered
1300,Gusilay,Senegal,SEN,gsl,Vulnerable
1597,Gutnish,Sweden,SWE,swe,Definitely endangered
1208,Gutob,India,IND,gbj,Vulnerable
184,Guugu Yimidhirr,Australia,AUS,kky,Vulnerable
115,Gweno,United Republic of Tanzania,TZA,gwe,Critically endangered
263,Gwich'in (Canada),Canada,CAN,gwi,Severely endangered
1458,Gwich'in (United States of America),United States of America,USA,gwi,Severely endangered
1121,Gyasumdo,Nepal,NPL,,Definitely endangered
1742,Gyele,"Cameroon, Equatorial Guinea","CMR, GNQ",gyi,Definitely endangered
1383,Gyem,Nigeria,NGA,gye,Critically endangered
1145,Ha-lung Tibetan,Nepal,NPL,ola,Definitely endangered
2584,Habu,Timor-Leste,TLS,hbu,Vulnerable
1980,HachijÅb,Japan,JPN,,Definitely endangered
114,Hadza,United Republic of Tanzania,TZA,hts,Vulnerable
260,Haisla,Canada,CAN,has,Critically endangered
258,Halkomelem,"Canada, United States of America","CAN, USA",hur,Severely endangered
2395,Han (Canada),Canada,CAN,haa,Critically endangered
1459,Han (United States of America),United States of America,USA,haa,Critically endangered
1555,Handuri,India,IND,hii,Critically endangered
807,Hanis,United States of America,USA,csz,Extinct
1709,Harakmbut,Peru,PER,"amr, hug",Definitely endangered
1950,Harsusi,Oman,OMN,hss,Definitely endangered
1032,Havasupai,United States of America,USA,yuf,Definitely endangered
712,Hawaiian,United States of America,USA,haw,Critically endangered
1802,Hawrami,"Iran (Islamic Republic of), Iraq","IRN, IRQ","bjm, hac, sdb, sdf",Definitely endangered
439,Hayu,Nepal,NPL,vay,Critically endangered
700,Heiban,Sudan,SDN,hbn,Vulnerable
257,Heiltsuk,Canada,CAN,hei,Critically endangered
2581,Helong,Indonesia,IDN,heg,Severely endangered
2108,Hermit,Papua New Guinea,PNG,llf,Critically endangered
1984,HÃ©rtevin,Turkey,TUR,hrt,Critically endangered
882,Hidatsa,United States of America,USA,hid,Definitely endangered
1273,Higher Reservoir Mazatec,Mexico,MEX,,Vulnerable
818,Highland Chontal,Mexico,MEX,chd,Severely endangered
1277,Highland Mazatec,Mexico,MEX,mau,Vulnerable
1415,Hijuk,Cameroon,CMR,hij,Critically endangered
1090,Hill Miri,India,IND,mrg,Definitely endangered
1048,Hinukh,Russian Federation,RUS,gin,Definitely endangered
2504,Hiw,Vanuatu,VUT,hiw,Definitely endangered
1668,HixkaryÃ¡na,Brazil,BRA,hix,Vulnerable
2445,Hlersu,China,CHN,hle,Vulnerable
1232,Hmar,India,IND,hmr,Vulnerable
1212,Ho,India,IND,hoc,Vulnerable
2045,Hoanya,China,CHN,ppu,Extinct
2633,Hoava,Solomon Islands,SLB,hoa,Vulnerable
1821,Hobyot,"Oman, Yemen","OMN, YEM",hoh,Severely endangered
297,Hodi,Venezuela (Bolivarian Republic of),VEN,yau,Vulnerable
152,Holikachuk,United States of America,USA,hoi,Critically endangered
59,Homa,Sudan,SDN,hom,Extinct
1493,Homshetsma (Caucasus),"Georgia, Russian Federation","GEO, RUS",hye,Severely endangered
1492,Homshetsma (Turkey),Turkey,TUR,hye,Definitely endangered
870,Hopi,United States of America,USA,hop,Vulnerable
1651,Horo,Chad,TCD,hor,Extinct
2591,Hoti,Indonesia,IDN,hti,Critically endangered
77,Hozo,Ethiopia,ETH,hoz,Definitely endangered
2219,Hpun,Myanmar,MMR,hpo,Extinct
1189,Hrangkhol,India,IND,hra,Vulnerable
2207,Hu,China,CHN,huo,Definitely endangered
1031,Hualapai,United States of America,USA,yuf,Vulnerable
1506,Huasteca NÃ¡huatl,Mexico,MEX,nhe,Vulnerable
921,Huehuetla Tepehua,Mexico,MEX,tee,Definitely endangered
1272,HuehuetlÃ¡n Mazatec,Mexico,MEX,vmz,Vulnerable
1491,Huichol,Mexico,MEX,hch,Vulnerable
604,Huilliche,Chile,CHL,huh,Critically endangered
1817,Huitoto (Brazil),Brazil,BRA,"hto, huu, hux",Extinct
605,"Huitoto (Colombia, Peru)","Colombia, Peru","COL, PER","hto, huu, hux",Definitely endangered
2592,Hukumina,Indonesia,IDN,huw,Extinct
2203,Hulaula (Iran),Iran (Islamic Republic of),IRN,huy,Extinct
2173,Hulaula (Israel),Israel,ISR,huy,Severely endangered
2593,Hulung,Indonesia,IDN,huk,Critically endangered
526,Hung,"Lao People's Democratic Republic, Viet Nam","LAO, VNM",hnu,Definitely endangered
1043,Hunzib,Russian Federation,RUS,huz,Definitely endangered
780,Hupa,United States of America,USA,hup,Critically endangered
1771,Hupda (Brazil),Brazil,BRA,jup,Vulnerable
2000,Hupda (Colombia),Colombia,COL,jup,Definitely endangered
2397,Huron-Wyandot (Canada),Canada,CAN,wya,Critically endangered
1537,Huron-Wyandot (United States of America),United States of America,USA,wya,Extinct
1422,Huzhu Monguor,China,CHN,mjg,Severely endangered
1395,Hya,"Cameroon, Nigeria","CMR, NGA",hya,Severely endangered
2594,Ibu,Indonesia,IDN,ibu,Critically endangered
1084,Idu,"China, India","CHN, IND",clk,Definitely endangered
1753,Iduh (Lao PDR),Lao People's Democratic Republic,LAO,,Critically endangered
527,Iduh (Viet Nam),Viet Nam,VNM,,Critically endangered
2642,Ifo,Vanuatu,VUT,iff,Extinct
107,Ik,Uganda,UGA,ikx,Severely endangered
1239,Ikpeng,Brazil,BRA,txi,Vulnerable
1433,Ili Turk,China,CHN,ili,Severely endangered
30,Ilue,Nigeria,NGA,ilv,Critically endangered
1294,Imeraguen,Mauritania,MRT,ime,Definitely endangered
753,IÃ±apari,Peru,PER,"inp, cuj",Critically endangered
359,Inari Saami,Finland,FIN,smn,Severely endangered
1703,Indri,Sudan,SDN,idr,Severely endangered
854,IneseÃ±o,United States of America,USA,inz,Extinct
1853,Inga,Colombia,COL,"inb, inj",Severely endangered
153,Ingalik,United States of America,USA,ing,Critically endangered
360,Ingrian,Russian Federation,RUS,izh,Severely endangered
1068,Ingush,Russian Federation,RUS,inh,Vulnerable
1049,Inkhokvari,Russian Federation,RUS,khv,Definitely endangered
254,Inuinnaqtun,Canada,CAN,ikt,Definitely endangered
844,Ipai,United States of America,USA,dih,Critically endangered
727,Iquito,Peru,PER,iqu,Critically endangered
1867,Iranxe,Brazil,BRA,irn,Critically endangered
2535,Iresim,Indonesia,IDN,ire,Severely endangered
362,Irish,"Ireland, United Kingdom of Great Britain and Northern Ireland","IRL, GBR",gle,Definitely endangered
1570,Irula,India,IND,iru,Vulnerable
2200,Isarog Agta,Philippines,PHL,agk,Critically endangered
1437,Ishkashimi,Tajikistan,TJK,sgl,Severely endangered
2536,Isirawa,Indonesia,IDN,srl,Vulnerable
298,Island Carib,Dominica,DMA,crb,Extinct
857,Island Chumash,United States of America,USA,crz,Extinct
1505,Isthmus NÃ¡huatl,Mexico,MEX,nhk,Vulnerable
363,Istriot,Croatia,HRV,ist,Severely endangered
364,Istro-Romanian,Croatia,HRV,ruo,Severely endangered
34,Isu,Cameroon,CMR,szv,Severely endangered
476,Itelmen,Russian Federation,RUS,itl,Critically endangered
1939,Iteri,Papua New Guinea,PNG,itr,Severely endangered
2537,Itik,Indonesia,IDN,itx,Vulnerable
606,Itonama,Bolivia (Plurinational State of),BOL,ito,Critically endangered
1788,ItzÃ¡,Guatemala,GTM,itz,Critically endangered
191,Iwaidja,Australia,AUS,ibd,Vulnerable
1265,Ixcatec,Mexico,MEX,ixc,Critically endangered
